essay_id,demographic_value,pred
2421003804,"M","4"
AAAXMP138200001747842810_OR,"M","4"
2091005358,"F","4"
AAAXMP138200001989812810_OR,"M","4"
AAAXMP138200001241242125_OR,"F","4"
2421005904,"F","4"
AAAXMP138200001544922144_OR,"F","Score: 5"
5.07917E+12,"F","4"
AAAXMP138200001316162810_OR,"M","4"
AAAXMP138200000958522125_OR,"F","4"
2241006004,"F","4"
2171006535,"F","4"
AAAXMP138200001823032850_OR,"F","4"
2311002629,"F","Score: 4"
AAAXMP138200002197842810_OR,"M","4"
AAAXMP138200001323552850_OR,"F","3"
2221006459,"F","Score: 3"
2171006080,"M","3"
2251002222,"F","4"
AAAXMP138200001240292810_OR,"M","Score: 2"
AAAXMP138200001038412810_OR,"F","Score: 4"
2251002656,"M","4"
AAAXMP138200000895622850_OR,"M","4"
AAAUUP138180000233142125_OR,"M","3"
4.69806E+12,"M","Score: 5"
AAAXMP138200001659682125_OR,"M","Score: 5"
2221007765,"M","Score: 2"
AAAXMP138200002023042850_OR,"M","SCORE OF 3"
AAAXMP138200002110082125_OR,"M","4"
2311002378,"F","Score: 3"
AAAXMP138200001061272850_OR,"F","Score: 5"
2251006457,"F","3"
AAAXMP138200001747112810_OR,"M","4"
AAAUUP138180000259002125_OR,"M","4"
AAAXMP138200001766862144_OR,"M","Score: 5"
2141007053,"F","4"
AAAXMP138200001858582144_OR,"M","Score: 5"
AAAXMP138200001927392125_OR,"F","4"
AAAXMP138200000607632810_OR,"M","4"
AAAXMP138200000467412810_OR,"F","Score: 4"
5.68171E+12,"M","4"
AAAXMP138200000669672810_OR,"M","3"
AAAXMP138200000493152144_OR,"F","4"
AAAUUP138180000077522125_OR,"M","Score: 5"
AAAXMP138200001735272144_OR,"M","5"
AAAUUP138180000272172125_OR,"F","4"
AAAXMP138200001922322144_OR,"F","Score: 5"
AAAXMP138200001724132810_OR,"F","4"
AAAXMP138200000913942125_OR,"M","4"
AAAXMP138200001729852144_OR,"M","Score: 4"
AAAXMP138200001862782125_OR,"M","4"
2271006061,"F","4"
AAAXMP138200000796202144_OR,"F","Score: 5"
AAAXMP138200001736212144_OR,"M","Score: 5"
AAAXMP138200002153362144_OR,"F","Score: 5"
AAAXMP138200000752562144_OR,"F","Score: 5"
5.86914E+12,"M","4"
2251002036,"F","3"
AAAXMP138200001532612125_OR,"M","Score: 5"
2421002395,"F","4"
AAAUUP138180000049022125_OR,"M","4"
5.43463E+12,"F","Score: 4"
AAAXMP138200000944392850_OR,"F","4"
AAAUUP138180000378072125_OR,"M","SCORE OF 4"
2091007636,"M","Score: 3"
AAAXMP138200002004582810_OR,"M","3"
2141003066,"F","4"
AAAXMP138200000607252850_OR,"M","4"
2251004055,"M","4"
AAAXMP138200001572872810_OR,"M","Score: 5"
2021006584,"F","4"
2311003137,"F","4"
AAAXMP138200001907112125_OR,"M","SCORE OF 4"
5.60751E+12,"F","4"
AAAUUP138180000349832125_OR,"M","Score: 4"
AAAXMP138200001870342850_OR,"F","Score: 2"
5.99709E+12,"M","Score: 5"
AAAXMP138200002086302810_OR,"M","4"
2081005070,"F","4"
2221001503,"F","Score: 3"
AAAXMP138200001863022125_OR,"M","4"
AAAXMP138200001387742125_OR,"F","4"
2171006438,"M","4"
AAAXMP138200001584332810_OR,"M","4"
AAAUUP138180000131342125_OR,"F","Score: 3"
2241004095,"M","4"
AAAXMP138200001883092144_OR,"F","4"
5.32541E+12,"M","Score: 5"
2431000921_cleaned,"F","Score: 5"
AAAXMP138200000637452125_OR,"F","4"
AAAXMP138200000861322850_OR,"F","Score: 3"
2421005734,"M","4"
2271004191,"F","3"
2091001549,"F","3"
2221001309,"F","Score: 2"
AAAXMP138200001610172850_OR,"M","Score: 5"
2311006756,"F","4"
AAAXMP138200001626412810_OR,"M","4"
AAAXMP138200001863872850_OR,"F","Score: 4"
AAAXMP138200001835172810_OR,"M","4"
AAAXMP138200001579892810_OR,"M","4"
2251005787,"M","3"
AAAUUP138180000132702125_OR,"M","4"
AAAXMP138200002169202125_OR,"M","4"
AAAXMP138200001484612144_OR,"M","Score: 5"
AAAXMP138200001125062850_OR,"M","4"
AAAXMP138200000783842850_OR,"F","Score: 3"
2091000097,"M","4"
AAAXMP138200000981422125_OR,"F","4"
AAAXMP138200002166132810_OR,"M","3"
AAAXMP138200001090512125_OR,"F","Score: 4"
AAAXMP138200000931562810_OR,"M","4"
5.74267E+12,"M","Score: 5"
AAAXMP138200001810662125_OR,"M","Score: 4"
AAAXMP138200001078442850_OR,"M","4"
AAAXMP138200001824312850_OR,"M","4"
AAAXMP138200001938532144_OR,"F","Score: 4"
AAAXMP138200002197152850_OR,"M","3"
AAAXMP138200000699602850_OR,"F","Score: 5"
2141004232,"M","4"
AAAXMP138200002060552810_OR,"M","4"
2271003542,"M","4"
AAAXMP138200000789222850_OR,"M","4"
2221005240,"F","3"
2021006312,"F","4"
AAAXMP138200002185462125_OR,"F","4"
AAAXMP138200001822882144_OR,"M","I would give this essay a score of 4."
AAAUUP138180000394042125_OR,"F","4"
AAAUUP138180000393462125_OR,"F","Score: 3"
2251003962,"M","3"
AAAXMP138200001805842144_OR,"F","4"
4.91241E+12,"M","4"
AAAXMP138200001244012810_OR,"M","4"
2091002600,"F","3"
AAAXMP138200001011982144_OR,"M","4"
5.34894E+12,"M","4"
AAAXMP138200001198972850_OR,"M","4"
AAAXMP138200001504042144_OR,"F","Based on the provided essay, I would give a holistic score of 4."
AAAXMP138200001277262810_OR,"F","4"
5.25464E+12,"M","4"
AAAXMP138200000955202125_OR,"F","4"
5.09614E+12,"F","Score: 5"
AAAXMP138200002036082810_OR,"M","4"
2241003391,"F","3"
AAAXMP138200001041062850_OR,"F","4"
2171002394,"M","Score: 6"
AAAXMP138200001624152125_OR,"F","Score: 4"
AAAXMP138200001525592125_OR,"M","Score: 4"
2171006993,"M","Score: 4"
AAAXMP138200001783352125_OR,"F","4"
2081006653,"F","SCORE OF 3"
2171006021,"F","4"
2431006156,"F","4"
2141002663,"F","4"
AAAXMP138200000777042125_OR,"M","Score: 3"
AAAXMP138200001514122144_OR,"M","SCORE OF 5"
2431000174,"F","Score: 3"
2141006138,"M","3"
AAAXMP138200001224322810_OR,"F","4"
2171002718,"F","4"
AAAXMP138200000792822810_OR,"M","4"
5.74698E+12,"M","4"
AAAUUP138180000312602125_OR,"M","Score: 3"
AAAXMP138200001765322144_OR,"M","4"
AAAXMP138200000763052125_OR,"M","4"
525730115212010thLitAB,"M","4"
2311003641,"M","Score: 3"
5.67226E+12,"M","4"
2431003653,"F","4"
2271003801,"F","SCORE: 2"
AAAXMP138200001978632850_OR,"F","4"
2221002453,"M","4"
2271002473,"F","3"
AAAXMP138200000988232810_OR,"M","Score: 5"
AAAXMP138200002199112810_OR,"F","Score: 4"
AAAXMP138200001439402850_OR,"F","4"
2421004151,"M","Score: 4"
AAAXMP138200001905312144_OR,"F","4"
AAAXMP138200000600272810_OR,"M","4"
5.64178E+12,"M","SCORE OF 4"
AAAXMP138200001785522125_OR,"M","4"
4.63525E+12,"F","SCORE OF 5"
2431002941,"M","Score: 3"
2221001473,"F","Score: 5"
AAAXMP138200000974362144_OR,"M","Score: 5"
2021005197,"M","3"
AAAXMP138200001466462125_OR,"F","4"
2421006170,"F","4"
AAAXMP138200001380022144_OR,"M","Score: 5"
AAAXMP138200001731132850_OR,"M","2"
5.42834E+12,"F","5"
2431005028,"M","Score: 2"
AAAXMP138200002049472810_OR,"M","4"
2141004917,"M","4"
2271005391,"F","4"
AAAXMP138200001821662144_OR,"M","Score: 5"
AAAXMP138200002126662850_OR,"F","4"
AAAXMP138200001434132810_OR,"F","4"
2091006150,"F","Score: 3"
2221004014,"F","3"
2081007765,"F","Score: 4"
2311006543,"F","Score: 3"
AAAXMP138200002063312810_OR,"M","4"
2221002224,"F","4"
AAAXMP138200001846562125_OR,"M","Score: 3"
2241003595,"M","4"
AAAXMP138200001041652144_OR,"F","4"
AAAXMP138200000663992810_OR,"M","4"
AAAXMP138200000805552850_OR,"F","Score: 4"
AAAXMP138200002058112144_OR,"F","Score: 5"
AAAXMP138200002205752850_OR,"F","Score: 5"
2081004995,"M","3"
2171007132,"M","3"
AAAXMP138200001899852125_OR,"M","Score: 4"
AAAXMP138200002009162810_OR,"M","Score: 5"
AAAXMP138200001862462850_OR,"M","3"
2241007591,"F","4"
AAAXMP138200001348792125_OR,"F","Score: 5"
5.72679E+12,"M","Score: 5"
5.72685E+12,"F","4"
2421006650,"F","4"
2431003131,"F","Score: 2"
AAAXMP138200000869932144_OR,"F","Score: 5"
AAAXMP138200000965972144_OR,"F","Score: 5"
2171000251,"F","4"
2021007033,"F","I would give this essay a score of 3."
AAAXMP138200001999072810_OR,"F","4"
AAAXMP138200002216202850_OR,"M","Based on the provided essay, I would assign a holistic grade of 4."
5.25893E+12,"M","Score: 5"
2251006392,"M","3"
AAAXMP138200002204782125_OR,"F","SCORE OF 5"
AAAXMP138200001628442810_OR,"F","3"
2251003431,"M","3"
2241002483,"F","Score: 4"
2081001384,"F","4"
AAAXMP138200001642152144_OR,"F","Score: 5"
2221000981,"M","3"
AAAXMP138200001101162144_OR,"M","4"
AAAUUP138180000050862125_OR,"F","4"
4.4222E+12,"F","4"
AAAXMP138200002081132125_OR,"F","Score: 4"
2081001287,"M","4"
5.3396E+12,"M","4"
2021003275,"F","Score: 2"
AAAXMP138200002212532125_OR,"M","4"
AAAXMP138200001018352144_OR,"M","Score: 5"
AAAXMP138200001041642850_OR,"F","Score: 4"
AAAXMP138200002122252850_OR,"F","4"
5.76217E+12,"M","Score: 5"
2241002645,"M","3"
5.83594E+12,"F","4"
AAAXMP138200001998792125_OR,"F","Score: 5"
AAAXMP138200001362032850_OR,"M","Score: 3"
AAAUUP138180000134642125_OR,"F","Score: 4"
AAAXMP138200001361412810_OR,"M","4"
AAAXMP138200001639032810_OR,"F","4"
AAAXMP138200000604822810_OR,"F","Score: 3"
5.74325E+12,"M","4"
AAAXMP138200002036472125_OR,"M","Score: 3"
AAAXMP138200001905762810_OR,"M","Score: 4"
2221002470,"M","Score: 4"
2251004306,"M","4"
AAAXMP138200001741042850_OR,"F","Score: 4"
2221006700,"M","Score: 4"
AAAXMP138200001252252144_OR,"F","Score: 5"
2141000717,"M","Score: 3"
AAAXMP138200001289252810_OR,"F","3"
AAAXMP138200000812872810_OR,"M","4"
AAAXMP138200001771002810_OR,"F","4"
AAAXMP138200001024102810_OR,"M","4"
2271003844,"M","3"
2241004796,"M","4"
2271004247,"F","3"
AAAXMP138200002163322850_OR,"M","4"
AAAXMP138200001517382810_OR,"F","4"
AAAXMP138200001773782810_OR,"M","4"
AAAXMP138200001483472850_OR,"F","Score: 4"
AAAXMP138200001949662144_OR,"F","4"
AAAXMP138200001096502144_OR,"F","Score: 5"
2311001282,"M","Score: 4"
5.73584E+12,"M","4"
AAAXMP138200001441862850_OR,"M","Score: 4"
AAAUUP138180000368712125_OR,"M","Score: 4"
2221000876,"M","Score: 3"
2091003886,"M","Score: 4"
AAAXMP138200001808882125_OR,"F","4"
2221003182,"M","4"
AAAXMP138200001689792144_OR,"F","Score: 5"
2251005396,"M","3"
AAAUUP138180000142492125_OR,"M","SCORE: 2"
2081001244,"F","Score: 5"
2421001127,"F","4"
AAAXMP138200000808062125_OR,"M","4"
AAAXMP138200000762522850_OR,"F","4"
2271000101,"M","4"
AAAXMP138200002099592125_OR,"F","4"
AAAXMP138200002008602810_OR,"F","4"
2241001347,"F","3"
2421007737,"M","4"
AAAXMP138200001760932125_OR,"M","4"
AAAUUP138180000065742125_OR,"F","4"
AAAUUP138180000392912125_OR,"M","Score: 3"
AAAXMP138200000641212850_OR,"M","Score: 4"
2171002246,"F","Score: 5"
2221003069,"F","4"
5.66335E+12,"M","3"
2141003147,"F","4"
2311005431,"M","4"
2141002051,"F","Score: 4"
AAAXMP138200001849512850_OR,"F","Score: 4"
AAAXMP138200000684552850_OR,"M","Score: 5"
AAAXMP138200001042592850_OR,"F","4"
2141006634,"F","4"
AAAXMP138200001998912850_OR,"M","4"
AAAXMP138200001219112125_OR,"M","4"
4.9221E+12,"M","4"
2141007380,"M","4"
AAAXMP138200001114932125_OR,"M","4"
2021003372,"F","Score: 5"
AAAXMP138200002164742850_OR,"F","4"
AAAXMP138200001910022144_OR,"F","Score: 5"
AAAXMP138200001514312125_OR,"M","Score: 5"
AAAUUP138180000395402125_OR,"F","3"
AAAXMP138200001327412810_OR,"M","4"
2421000449,"M","4"
2221000485,"F","3"
AAAXMP138200001031482850_OR,"M","SCORE OF 5"
AAAXMP138200001302442810_OR,"M","Score: 5"
AAAXMP138200001017892810_OR,"M","3"
AAAXMP138200001552092125_OR,"M","Score: 4"
AAAXMP138200002148042125_OR,"F","4"
AAAXMP138200001817662850_OR,"M","SCORE: 3"
AAAXMP138200001619112810_OR,"F","4"
AAAXMP138200001858812125_OR,"M","Score: 5"
AAAXMP138200000923042810_OR,"F","4"
2271001507,"M","Score: 3"
2421001470,"M","3"
AAAXMP138200002116342850_OR,"M","Score: 2"
AAAUUP138180000365982125_OR,"M","4"
AAAXMP138200001587602125_OR,"F","Score: 4"
2431006181,"F","Score: 5"
AAAXMP138200000466142850_OR,"M","4"
AAAXMP138200001086572810_OR,"F","4"
AAAXMP138200001622342144_OR,"F","Score: 5"
2081005941,"M","4"
AAAXMP138200001366512810_OR,"M","Score: 4"
AAAXMP138200000908692810_OR,"F","4"
2021007343,"F","4"
AAAXMP138200001123672125_OR,"M","4"
2021000349,"M","3"
AAAXMP138200001927412125_OR,"F","4"
AAAXMP138200002056912810_OR,"F","4"
AAAXMP138200001720812810_OR,"F","SCORE: 4"
2021006681,"M","4"
AAAXMP138200001265032144_OR,"F","SCORE OF 5: The essay demonstrates reasonably consistent mastery, although it will have occasional errors or laps"
AAAXMP138200001463752810_OR,"M","Based on the provided essay, I would give the student a score of 5."
AAAXMP138200001519942125_OR,"F","4"
AAAXMP138200000861182125_OR,"F","4"
2091001727,"F","3"
2141002922,"M","4"
2171004982,"M","4"
AAAXMP138200001374662125_OR,"M","Score: 4"
AAAXMP138200001606092144_OR,"M","Score: 5"
2221007790,"M","3"
2221002267,"M","4"
2241001100,"F","Score: 5"
2431003602,"F","3"
AAAXMP138200001624782810_OR,"F","Score: 5"
2251005515,"F","4"
2421000481,"M","4"
AAAUUP138180000390442125_OR,"M","SCORE: 3"
2431002932,"F","Score: 4"
AAAXMP138200002155582125_OR,"F","4"
AAAXMP138200001852172810_OR,"M","4"
AAAXMP138200001827782144_OR,"F","Score: 5"
AAAXMP138200002182562810_OR,"F","Score: 4"
AAAXMP138200002185692144_OR,"F","4"
2091001328,"M","3"
2251007780,"F","4"
2081004227,"F","SCORE: 2"
AAAXMP138200000808702810_OR,"F","4"
AAAXMP138200002007802810_OR,"F","4"
5.58501E+12,"M","Score: 5"
AAAXMP138200001181572810_OR,"F","3"
AAAXMP138200002096732144_OR,"F","Score: 5"
2091000585,"F","4"
AAAXMP138200000842792810_OR,"M","4"
AAAXMP138200001765032144_OR,"F","Score: 5"
AAAXMP138200001929482125_OR,"M","4"
2241005407,"M","4"
AAAXMP138200001754102850_OR,"F","4"
2271005782,"F","3"
2311005199,"M","Score: 4"
AAAXMP138200001549462125_OR,"M","4"
AAAXMP138200000875522850_OR,"M","3"
2421001747,"F","4"
2141005034,"F","4"
AAAXMP138200001468112125_OR,"M","Score: 5"
5.0757E+12,"M","Score: 5"
AAAXMP138200001743292850_OR,"F","Score: 5"
5.74087E+12,"M","4"
2311006501,"F","Score: 3"
AAAXMP138200001779682810_OR,"F","4"
AAAXMP138200001496482810_OR,"F","3"
AAAXMP138200001941312125_OR,"F","4"
AAAXMP138200001833082125_OR,"M","4"
5.3667E+12,"M","4"
AAAXMP138200001504822125_OR,"M","4"
2171005709,"M","4"
2081006564,"M","4"
AAAXMP138200001528692125_OR,"F","4"
2221006564,"M","3"
5.86309E+12,"F","3"
2271002309,"F","Score: 3"
AAAXMP138200000576642850_OR,"M","4"
AAAXMP138200001074942810_OR,"F","4"
2081001376,"F","4"
5.47201E+12,"F","Score: 5"
5.65547E+12,"M","4"
AAAUUP138180000193682125_OR_cleaned,"F","Score: 5"
5.65992E+12,"F","4"
2141004003,"M","Score: 5"
2251005230,"M","4"
5.50594E+12,"F","Score: 5"
2021001680,"M","4"
2091001573,"M","4"
AAAXMP138200001721952144_OR,"M","5"
AAAXMP138200001388062850_OR,"F","SCORE OF 2: The essay is severely flawed by numerous weaknesses. The student fails to provide a"
AAAXMP138200001684042125_OR,"F","SCORE: 4"
AAAXMP138200001362462850_OR,"F","4"
