essay_id,pred
2021000047,4
2021000071,3
2021000080,4
2021000101,4
2021000110,4
2021000136,4
2021000152,4
2021000187,4
2021000241,phone to call someone, they should be allowed to use their phones.
2021000268,4
2021000276,4
2021000292,4
2021000314,4
2021000349,4
2021000365,4
2021000390,4
2021000420,4
2021000446,4
2021000462,4
2021000471,4
2021000616,4
2021000624,4
2021000632,4
2021000675,4
2021000683,4
2021000730,4
2021000748,4
2021000756,3
2021000764,4
2021000799,4
2021000802,4
2021000845,4
2021000870,4
2021000918,4
2021000934,3
2021000993,4
2021001001,4
2021001027,4
2021001043,3
2021001116,4
2021001141,4
2021001159,4
2021001183,SCORE OF 4
2021001191,4
2021001230,4
2021001264,SCORE OF 4
2021001272,4
2021001361,4
2021001388,4
2021001418,4
2021001451,SCORE OF 4
2021001469,4
2021001477,4
2021001531,4
2021001558,SCORE OF 4
2021001582,SCORE OF 4
2021001621,SCORE OF 4
2021001680,4
2021001744,3
2021001825,SCORE OF 4
2021001884,4
2021001906,4
2021001957,4
2021001990,3
2021002082,4
2021002112,4
2021002163,4
2021002171,SCORE OF 4
2021002236,4
2021002244,4
2021002261,4
2021002295,4
2021002392,4
2021002414,4
2021002422,4
2021002431,4
2021002473,4
2021002554,4
2021002571,4
2021002601,4
2021002627,4
2021002759,4
2021002902,4
2021002937,4
2021002945,4
2021002961,4
2021002988,4
2021003020,4
2021003046,4
2021003062,4
2021003071,4
2021003097,4
2021003135,4
2021003160,4
2021003178,4
2021003186,3
2021003224,4
2021003275,4
2021003305,4
2021003356,4
2021003372,4
2021003381,4
2021003411,4
2021003445,4
2021003470,4
2021003569,4
2021003607,4
2021003623,4
2021003631,4
2021003640,4
2021003674,4
2021003739,4
2021003780,4
2021003798,4
2021003801,SCORE OF 4
2021003861,4
2021003879,3
2021003887,SCORE OF 4
2021003895,4
2021004042,4
2021004115,4
2021004191,SCORE OF 4
2021004212,4
2021004336,4
2021004352,4
2021004361,4
2021004409,4
2021004433,4
2021004476,4
2021004531,4
2021004697,4
2021004701,4
2021004760,4
2021004794,SCORE OF 3
2021004816,4
2021004824,4
2021004883,4
2021004964,4
