,essay_id,pred,demographic_value,demographic_variable
0,2021000047,1.0,F,gender
1,2021000071,1.0,M,gender
2,2021000080,1.0,No,ell_status
3,2021000101,1.0,M,gender
4,2021000110,1.0,8,grade_level
5,2021000136,1.0,Not economically disadvantaged,economically_disadvantaged
6,2021000152,1.0,Not economically disadvantaged,economically_disadvantaged
7,2021000187,1.0,M,gender
8,2021000241,1.0,8,grade_level
9,2021000268,1.0,Not economically disadvantaged,economically_disadvantaged
10,2021000276,1.0,Not identified as having disability,student_disability_status
11,2021000292,1.0,Hispanic/Latino,race_ethnicity
12,2021000314,1.0,Economically disadvantaged,economically_disadvantaged
13,2021000349,1.0,M,gender
14,2021000365,1.0,Economically disadvantaged,economically_disadvantaged
15,2021000390,1.0,Not identified as having disability,student_disability_status
16,2021000420,1.0,8,grade_level
17,2021000446,1.0,Not economically disadvantaged,economically_disadvantaged
18,2021000462,1.0,8,grade_level
19,2021000471,1.0,White,race_ethnicity
20,2021000616,1.0,White,race_ethnicity
21,2021000624,1.0,Not identified as having disability,student_disability_status
22,2021000632,1.0,No,ell_status
23,2021000675,1.0,Not identified as having disability,student_disability_status
24,2021000683,1.0,Economically disadvantaged,economically_disadvantaged
25,2021000730,1.0,Economically disadvantaged,economically_disadvantaged
26,2021000748,1.0,F,gender
27,2021000756,1.0,Hispanic/Latino,race_ethnicity
28,2021000764,1.0,8,grade_level
29,2021000799,1.0,8,grade_level
30,2021000802,1.0,8,grade_level
31,2021000845,1.0,F,gender
32,2021000870,1.0,M,gender
33,2021000918,1.0,No,ell_status
34,2021000934,1.0,No,ell_status
35,2021000993,1.0,8,grade_level
36,2021001001,1.0,8,grade_level
37,2021001027,1.0,F,gender
38,2021001043,1.0,Not identified as having disability,student_disability_status
39,2021001116,1.0,Economically disadvantaged,economically_disadvantaged
40,2021001141,1.0,White,race_ethnicity
41,2021001159,1.0,Not identified as having disability,student_disability_status
42,2021001183,1.0,Not identified as having disability,student_disability_status
43,2021001191,1.0,8,grade_level
44,2021001230,1.0,8,grade_level
45,2021001264,1.0,8,grade_level
46,2021001272,1.0,Not identified as having disability,student_disability_status
47,2021001361,1.0,Not identified as having disability,student_disability_status
48,2021001388,1.0,Black/African American,race_ethnicity
49,2021001418,1.0,Not identified as having disability,student_disability_status
50,2021001451,1.0,Not identified as having disability,student_disability_status
51,2021001469,1.0,No,ell_status
52,2021001477,1.0,No,ell_status
53,2021001531,1.0,No,ell_status
54,2021001558,1.0,Not identified as having disability,student_disability_status
55,2021001582,1.0,Not economically disadvantaged,economically_disadvantaged
56,2021001621,1.0,No,ell_status
57,2021001680,1.0,M,gender
58,2021001744,1.0,White,race_ethnicity
59,2021001825,1.0,White,race_ethnicity
60,2021001884,1.0,No,ell_status
61,2021001906,1.0,Identified as having disability,student_disability_status
62,2021001957,1.0,F,gender
63,2021001990,1.0,Economically disadvantaged,economically_disadvantaged
64,2021002082,1.0,No,ell_status
65,2021002112,1.0,Economically disadvantaged,economically_disadvantaged
66,2021002163,1.0,Not economically disadvantaged,economically_disadvantaged
67,2021002171,1.0,Not economically disadvantaged,economically_disadvantaged
68,2021002236,1.0,Not identified as having disability,student_disability_status
69,2021002244,1.0,Identified as having disability,student_disability_status
70,2021002261,1.0,8,grade_level
71,2021002295,1.0,F,gender
72,2021002392,1.0,M,gender
73,2021002414,1.0,Not identified as having disability,student_disability_status
74,2021002422,1.0,No,ell_status
75,2021002431,1.0,No,ell_status
76,2021002473,1.0,Not identified as having disability,student_disability_status
77,2021002554,1.0,M,gender
78,2021002571,1.0,White,race_ethnicity
79,2021002601,1.0,White,race_ethnicity
80,2021002627,1.0,8,grade_level
81,2021002759,1.0,F,gender
82,2021002902,1.0,8,grade_level
83,2021002937,1.0,No,ell_status
84,2021002945,1.0,8,grade_level
85,2021002961,1.0,Economically disadvantaged,economically_disadvantaged
86,2021002988,1.0,Not identified as having disability,student_disability_status
87,2021003020,1.0,No,ell_status
88,2021003046,1.0,8,grade_level
89,2021003062,1.0,No,ell_status
90,2021003071,1.0,8,grade_level
91,2021003097,1.0,8,grade_level
92,2021003135,1.0,,economically_disadvantaged
93,2021003160,1.0,M,gender
94,2021003178,1.0,Black/African American,race_ethnicity
95,2021003186,1.0,Not identified as having disability,student_disability_status
96,2021003224,1.0,Not identified as having disability,student_disability_status
97,2021003275,1.0,F,gender
98,2021003305,1.0,No,ell_status
99,2021003356,1.0,Black/African American,race_ethnicity
100,2021003372,1.0,F,gender
101,2021003381,1.0,8,grade_level
102,2021003411,1.0,Not identified as having disability,student_disability_status
103,2021003445,1.0,Not identified as having disability,student_disability_status
104,2021003470,1.0,Not identified as having disability,student_disability_status
105,2021003569,1.0,M,gender
106,2021003607,1.0,Not identified as having disability,student_disability_status
107,2021003623,1.0,8,grade_level
108,2021003631,1.0,No,ell_status
109,2021003640,1.0,No,ell_status
110,2021003674,1.0,White,race_ethnicity
111,2021003739,1.0,8,grade_level
112,2021003780,1.0,Not identified as having disability,student_disability_status
113,2021003798,1.0,No,ell_status
114,2021003801,1.0,8,grade_level
115,2021003861,1.0,Not economically disadvantaged,economically_disadvantaged
116,2021003879,1.0,Not economically disadvantaged,economically_disadvantaged
117,2021003887,1.0,Not identified as having disability,student_disability_status
118,2021003895,1.0,White,race_ethnicity
119,2021004042,1.0,Economically disadvantaged,economically_disadvantaged
120,2021004115,1.0,M,gender
121,2021004191,1.0,M,gender
122,2021004212,1.0,Hispanic/Latino,race_ethnicity
123,2021004336,1.0,No,ell_status
124,2021004352,1.0,No,ell_status
125,2021004361,1.0,F,gender
126,2021004409,1.0,Hispanic/Latino,race_ethnicity
127,2021004433,1.0,Hispanic/Latino,race_ethnicity
128,2021004476,1.0,Not identified as having disability,student_disability_status
129,2021004531,1.0,Not identified as having disability,student_disability_status
130,2021004697,1.0,,economically_disadvantaged
131,2021004701,1.0,Asian/Pacific Islander,race_ethnicity
132,2021004760,1.0,8,grade_level
133,2021004794,1.0,Not identified as having disability,student_disability_status
134,2021004816,1.0,White,race_ethnicity
135,2021004824,1.0,White,race_ethnicity
136,2021004883,1.0,8,grade_level
137,2021004964,1.0,F,gender
138,2021004972,1.0,8,grade_level
139,2021004999,1.0,No,ell_status
140,2021005006,1.0,No,ell_status
141,2021005073,1.0,Black/African American,race_ethnicity
142,2021005111,1.0,White,race_ethnicity
143,2021005120,1.0,Not identified as having disability,student_disability_status
144,2021005154,1.0,Economically disadvantaged,economically_disadvantaged
145,2021005162,1.0,8,grade_level
146,2021005197,1.0,M,gender
147,2021005219,1.0,White,race_ethnicity
148,2021005227,1.0,No,ell_status
149,2021005278,1.0,White,race_ethnicity
150,2021005286,1.0,Not identified as having disability,student_disability_status
151,2021005294,1.0,8,grade_level
152,2021005316,1.0,White,race_ethnicity
153,2021005324,1.0,No,ell_status
154,2021005430,1.0,Hispanic/Latino,race_ethnicity
155,2021005545,1.0,White,race_ethnicity
156,2021005553,1.0,No,ell_status
157,2021005588,1.0,White,race_ethnicity
158,2021005600,1.0,F,gender
159,2021005669,1.0,Hispanic/Latino,race_ethnicity
160,2021005677,1.0,No,ell_status
161,2021005731,1.0,Economically disadvantaged,economically_disadvantaged
162,2021005855,1.0,M,gender
163,2021005910,1.0,Black/African American,race_ethnicity
164,2021005928,1.0,No,ell_status
165,2021005952,1.0,No,ell_status
166,2021006029,1.0,Hispanic/Latino,race_ethnicity
167,2021006061,1.0,Not identified as having disability,student_disability_status
168,2021006088,1.0,F,gender
169,2021006177,1.0,No,ell_status
170,2021006207,1.0,Not identified as having disability,student_disability_status
171,2021006223,1.0,F,gender
172,2021006266,1.0,Not identified as having disability,student_disability_status
173,2021006274,1.0,No,ell_status
174,2021006312,1.0,F,gender
175,2021006321,1.0,No,ell_status
176,2021006380,1.0,M,gender
