essay_id,pred
2021000047,"Score: 4"
2021000071,"3"
2021000080,"4"
2021000101,"Based on the provided essay, I would assign a holistic grade of 3."
2021000110,"Score: 3"
2021000136,"4"
2021000152,"4"
2021000187,"4"
2021000241,"4"
2021000268,"Score: 3"
2021000276,"4"
2021000292,"Score: 4"
2021000314,"Score: 3"
2021000349,"4"
2021000365,"Based on the provided essay, I would assign a holistic grade of 3. The essay demonstrates some"
2021000390,"3"
2021000420,"3"
2021000446,"Score: 3"
2021000462,"Score: 4"
2021000471,"Score: 3"
2021000616,"3."
2021000624,"3"
2021000632,"Score: 4"
2021000675,"Score: 4"
2021000683,"3"
2021000730,"Score: 4"
2021000748,"3"
2021000756,"3"
2021000764,"Score: 3"
2021000799,"4"
2021000802,"3"
2021000845,"Score: 3"
2021000870,"3"
2021000918,"Score: 4"
2021000934,"4"
2021000993,"4"
2021001001,"4"
2021001027,"4"
2021001043,"3"
2021001116,"3"
2021001141,"3"
2021001159,"Score: 4"
2021001183,"4"
2021001191,"Score: 2"
2021001230,"4"
2021001264,"Score: 5"
2021001272,"Score: 3"
2021001361,"4"
2021001388,"Score: 3"
2021001418,"4"
2021001451,"3"
2021001469,"3"
2021001477,"Score: 5"
2021001531,"Score: 3"
2021001558,"Score: 4"
2021001582,"4"
2021001621,"Score: 4"
2021001680,"4"
2021001744,"Score: 4"
2021001825,"4"
2021001884,"Score: 4"
2021001906,"4"
2021001957,"Score: 4"
2021001990,"4"
2021002082,"Score: 3"
2021002112,"3"
2021002163,"Score: 5"
2021002171,"3"
2021002236,"4"
2021002244,"Score: 2"
2021002261,"4"
2021002295,"Score: 4"
2021002392,"Score: 3"
2021002414,"4"
2021002422,"3"
2021002431,"Score: 4"
2021002473,"Score: 4"
2021002554,"4"
2021002571,"4"
2021002601,"3"
2021002627,"4"
2021002759,"3"
2021002902,"3"
2021002937,"Score: 2"
2021002945,"3"
2021002961,"3"
2021002988,"4"
2021003020,"4"
2021003046,"Score: 4"
2021003062,"3"
2021003071,"3"
2021003097,"Score: 4"
2021003135,"4"
2021003160,"4"
2021003178,"3"
2021003186,"Score: 2"
2021003224,"Score: 4"
2021003275,"3"
2021003305,"Score: 3"
2021003356,"3"
2021003372,"4"
2021003381,"4"
2021003411,"4"
2021003445,"Score: 5"
2021003470,"Score: 4"
2021003569,"3"
2021003607,"3"
2021003623,"3"
2021003631,"Score: 4"
2021003640,"4"
2021003674,"3"
2021003739,"Score: 4"
2021003780,"Score: 4"
2021003798,"3"
2021003801,"3"
2021003861,"3"
2021003879,"4"
2021003887,"Score: 2"
2021003895,"Score: 3"
2021004042,"3"
2021004115,"3"
2021004191,"Score: 2"
2021004212,"Score: 4"
2021004336,"4"
2021004352,"Score: 5"
2021004361,"3"
2021004409,"3"
2021004433,"Score: 3"
2021004476,"3"
2021004531,"Score: 2"
2021004697,"4"
2021004701,"Score: 3"
2021004760,"3"
2021004794,"Score: 2"
2021004816,"Score: 3"
2021004824,"4"
2021004883,"Score: 2"
2021004964,"3"
2021004972,"4"
2021004999,"3"
2021005006,"4"
2021005073,"3"
2021005111,"4"
2021005120,"Score: 3"
2021005154,"4"
2021005162,"Score: 3"
2021005197,"3"
2021005219,"Score: 3"
2021005227,"Score: 2"
2021005278,"Score: 4"
2021005286,"Score: 4"
2021005294,"Score: 4"
2021005316,"Score: 4"
2021005324,"4"
2021005430,"4"
2021005545,"4"
2021005553,"3."
2021005588,"3"
2021005600,"3"
2021005669,"Score: 3"
2021005677,"I would give this essay a score of 2."
2021005731,"Score: 3"
2021005855,"3"
2021005910,"3"
2021005928,"3"
2021005952,"Score: 3"
2021006029,"Score: 3"
2021006061,"3"
2021006088,"Score: 4"
2021006177,"Score: 3"
2021006207,"4"
2021006223,"Score: 3"
2021006266,"Score: 4"
2021006274,"4"
