essay_id,pred
2021000047,6
2021000071,2
2021000080,5
2021000101,3
2021000110,5
2021000136,6
2021000152,6
2021000187,2
2021000241,4
2021000268,2
2021000276,4
2021000292,6
2021000314,6
2021000349,3
2021000365,2
2021000390,6
2021000420,4
2021000446,3
2021000462,2
2021000471,2
2021000616,2
2021000624,1
2021000632,6
2021000675,6
2021000683,2
2021000730,3
2021000748,1
2021000756,2
2021000764,2
2021000799,1
2021000802,6
2021000845,6
2021000870,6
2021000918,6
2021000934,1
2021000993,1
2021001001,1
2021001027,6
2021001043,1
2021001116,6
2021001141,3
2021001159,3
2021001183,3
2021001191,1
2021001230,1
2021001264,6
2021001272,3
2021001361,2
2021001388,6
2021001418,6
2021001451,2
2021001469,1
2021001477,6
2021001531,2
2021001558,6
2021001582,6
2021001621,6
2021001680,4
2021001744,2
2021001825,2
2021001884,6
2021001906,6
2021001957,3
2021001990,1
2021002082,1
2021002112,6
2021002163,6
2021002171,6
2021002236,6
2021002244,1
2021002261,3
2021002295,6
2021002392,1
2021002414,6
2021002422,1
2021002431,6
2021002473,1
2021002554,1
2021002571,2
2021002601,1
2021002627,3
2021002759,6
2021002902,1
2021002937,1
2021002945,2
2021002961,1
2021002988,1
2021003020,6
2021003046,6
2021003062,6
2021003071,2
2021003097,6
2021003135,1
2021003160,6
2021003178,1
2021003186,1
2021003224,1
2021003275,3
2021003305,6
2021003356,2
2021003372,6
2021003381,1
2021003411,2
2021003445,1
2021003470,3
2021003569,2
2021003607,2
2021003623,6
2021003631,6
2021003640,6
2021003674,1
2021003739,1
2021003780,6
2021003798,2
2021003801,1
2021003861,6
2021003879,1
2021003887,2
2021003895,4
2021004042,3
2021004115,6
2021004191,2
2021004212,2
2021004336,6
2021004352,4
2021004361,1
2021004409,2
2021004433,6
2021004476,1
2021004531,1
2021004697,6
2021004701,1
2021004760,4
2021004794,1
2021004816,1
2021004824,6
2021004883,2
2021004964,5
2021004972,6
2021004999,6
2021005006,2
2021005073,2
2021005111,6
2021005120,6
2021005154,1
2021005162,2
2021005197,2
2021005219,1
2021005227,4
2021005278,5
2021005286,6
2021005294,6
2021005316,6
2021005324,1
2021005430,6
2021005545,6
2021005553,2
2021005588,2
2021005600,5
2021005669,1
2021005677,1
2021005731,1
2021005855,2
2021005910,6
2021005928,1
2021005952,1
2021006029,6
2021006061,6
2021006088,1
2021006177,2
2021006207,2
2021006223,6
2021006266,6
2021006274,1
2021006312,6
2021006321,1
2021006380,1
2021006398,2
2021006436,6
2021006444,3
2021006461,6
2021006495,6
2021006525,6
2021006541,5
2021006550,3
2021006576,1
2021006584,6
2021006614,6
2021006681,3
2021006746,1
2021006754,1
2021006762,2
2021006771,6
2021006801,6
2021006851,3
2021006860,2
2021006894,4
2021006908,2
2021006983,3
2021007025,6
2021007033,3
2021007041,6
2021007149,3
2021007157,1
2021007165,6
2021007203,6
2021007271,2
2021007319,6
2021007343,1
2021007351,1
2021007432,5
2021007483,1
2021007491,6
2021007564,3
2021007602,1
2021007696,6
2021007793,1
2021007815,4
2021007823,4
2081000019,6
2081000124,6
2081000191,4
2081000264,3
2081000272,4
2081000299,5
2081000337,6
2081000361,1
2081000396,6
2081000400,6
2081000426,2
2081000442,6
2081000469,6
2081000477,6
2081000540,6
2081000566,6
2081000655,6
2081000868,5
2081000892,5
2081000914,1
2081000931,6
2081001007,3
2081001015,6
2081001023,2
2081001155,6
2081001180,6
2081001244,6
2081001252,3
2081001287,1
2081001376,6
2081001384,6
2081001406,6
2081001414,5
2081001431,2
2081001511,1
2081001546,6
2081001554,6
2081001686,2
2081001805,6
2081001813,3
2081001864,3
2081001881,6
2081001996,6
2081002127,6
2081002135,6
2081002160,5
2081002194,2
2081002224,6
2081002232,6
2081002267,6
2081002321,6
2081002402,5
2081002411,6
2081002429,6
2081002437,3
2081002461,6
2081002470,6
2081002585,5
2081002666,1
2081002721,1
2081002763,1
2081002798,3
2081002836,3
2081002861,4
2081002933,3
2081002941,6
2081002950,6
2081002984,6
2081003026,6
2081003042,6
2081003182,3
2081003280,6
2081003301,5
2081003310,6
2081003344,6
2081003361,6
2081003387,6
2081003409,5
2081003441,6
2081003450,6
2081003484,4
2081003549,3
2081003573,6
2081003581,6
2081003611,6
2081003654,3
2081003735,3
2081003816,6
2081003883,2
2081003891,6
2081003905,1
2081003913,6
2081003964,4
2081003999,6
2081004014,1
2081004065,6
2081004073,1
2081004103,6
2081004197,2
2081004201,3
2081004227,6
2081004251,6
2081004286,6
2081004421,5
2081004481,6
2081004553,6
2081004715,2
2081004758,6
2081004847,1
2081004898,6
2081004901,6
2081004928,6
2081004987,6
2081004995,6
2081005029,1
2081005045,5
2081005053,4
2081005070,6
2081005151,6
2081005185,5
2081005207,6
2081005231,6
2081005274,6
2081005291,6
2081005312,1
2081005321,6
2081005347,6
2081005355,6
2081005398,4
2081005410,1
2081005461,6
2081005479,6
2081005517,6
2081005525,6
2081005576,3
2081005584,1
2081005606,3
2081005622,6
2081005649,6
2081005665,6
2081005673,6
2081005711,5
2081005762,3
2081005835,6
2081005860,5
2081005886,2
2081005908,6
2081005941,2
2081006017,6
2081006025,6
2081006076,3
2081006114,6
2081006131,6
2081006181,6
2081006301,3
2081006386,2
2081006483,6
2081006491,6
2081006548,6
2081006564,3
2081006572,1
2081006581,1
2081006611,2
2081006653,5
2081006688,6
2081006718,6
2081006751,6
2081006785,6
2081006882,6
2081006891,6
2081006963,3
2081007013,6
2081007021,6
2081007048,3
2081007081,6
2081007111,6
2081007153,6
2081007200,6
2081007277,6
2081007366,2
2081007480,3
2081007498,1
2081007510,6
2081007536,3
2081007684,6
2081007765,5
2081007803,6
2091000020,1
2091000054,2
2091000071,6
2091000097,6
2091000127,2
2091000135,2
2091000151,1
2091000194,6
2091000216,4
2091000267,2
2091000275,6
2091000313,1
2091000372,2
2091000399,1
2091000488,4
2091000542,2
2091000569,3
2091000585,6
2091000631,2
2091000666,2
2091000682,6
2091000691,6
2091000828,1
2091000836,2
2091000844,3
2091000887,1
2091000895,6
2091000925,6
2091000950,3
2091000984,1
2091001085,6
2091001158,6
2091001280,4
2091001328,1
2091001387,6
2091001417,6
2091001468,6
2091001514,6
2091001549,1
2091001557,6
2091001573,6
2091001611,4
2091001671,6
2091001689,6
2091001727,6
2091001760,2
2091001867,6
2091002006,6
2091002065,3
2091002146,1
2091002197,6
2091002219,2
2091002235,2
2091002260,6
2091002294,6
2091002316,6
2091002391,6
2091002472,6
2091002537,6
2091002553,3
2091002600,1
2091002766,6
2091002791,6
2091003011,1
2091003053,2
2091003100,6
2091003151,6
2091003193,6
2091003207,3
2091003231,6
2091003312,6
2091003339,2
2091003363,3
2091003444,1
2091003479,1
2091003495,1
2091003541,6
2091003550,2
2091003614,2
2091003657,1
2091003690,6
2091003703,1
2091003711,2
2091003720,6
2091003746,1
2091003771,6
2091003797,2
2091003801,6
2091003835,6
2091003843,6
2091003851,1
2091003860,6
2091003878,6
2091003886,6
2091003894,6
2091003908,3
2091003916,6
2091003967,2
2091004009,1
2091004041,6
2091004092,1
2091004106,2
2091004149,6
2091004173,1
2091004181,3
2091004220,3
2091004271,5
2091004301,6
2091004327,6
2091004351,6
2091004378,3
2091004394,6
2091004416,6
2091004459,6
2091004467,3
2091004475,6
2091004483,2
2091004521,1
2091004548,6
2091004564,2
2091004670,6
2091004688,2
2091004696,6
2091004751,6
2091004980,6
2091005013,6
2091005030,3
2091005056,4
2091005129,5
2091005153,6
2091005170,6
2091005200,6
2091005218,6
2091005234,2
2091005242,6
2091005251,6
2091005269,6
2091005277,3
2091005285,2
2091005293,3
2091005323,6
2091005331,2
2091005358,6
2091005391,2
2091005412,6
2091005439,3
2091005447,6
2091005471,1
2091005510,2
2091005528,6
2091005536,2
2091005595,6
2091005625,6
2091005650,6
2091005668,1
2091005676,3
2091005731,6
2091005838,2
2091005854,6
2091005897,2
2091006087,4
2091006125,2
2091006133,6
2091006150,6
2091006176,6
2091006184,6
2091006257,6
2091006281,1
2091006311,6
2091006354,3
2091006371,6
2091006389,1
2091006427,6
2091006443,3
2091006460,2
2091006486,2
2091006494,1
2091006559,2
2091006567,6
2091006605,4
2091006630,6
2091006672,1
2091006681,3
2091006729,2
2091006737,2
2091006745,1
2091006770,6
2091006788,6
2091006800,2
2091006842,6
2091006885,1
2091006893,2
2091007041,3
2091007059,3
2091007113,6
2091007199,1
2091007237,2
2091007288,5
2091007326,2
2091007342,3
2091007351,6
2091007369,6
2091007377,2
2091007431,6
2091007440,6
2091007474,6
2091007512,6
2091007521,2
2091007539,6
2091007636,1
2091007652,1
2091007806,3
2141000041,1
2141000059,6
2141000075,1
2141000091,6
2141000156,6
2141000202,3
2141000245,2
2141000318,6
2141000326,2
2141000342,3
2141000377,5
2141000415,1
2141000482,1
2141000504,3
2141000636,1
2141000644,3
2141000687,1
2141000717,1
2141000733,5
2141000750,1
2141000792,2
2141001039,6
2141001101,2
2141001195,6
2141001225,1
2141001276,3
2141001284,2
2141001349,3
2141001390,6
2141001446,3
2141001454,1
2141001471,2
2141001535,6
2141001560,2
2141001616,1
2141001624,1
2141001641,1
2141001683,2
