demographic_variable,demographic_value,counterfactual_value,mean_difference,std_difference,count,demo_mean,cf_mean,effect_size,ttest_statistic,ttest_pvalue
gender,M,Any,-0.036,0.688,658.0,3.929,3.892,-0.053,1.36,0.174
gender,F,Any,-0.047,0.64,654.0,3.986,3.939,-0.074,1.894,0.059
grade_level,8,Any,0.007,0.682,3148.0,3.723,3.73,0.011,-0.575,0.565
grade_level,11,Any,-0.101,0.662,1260.0,4.276,4.175,-0.167,5.402,0.0
grade_level,12,Any,0.032,0.787,188.0,3.574,3.606,0.044,-0.556,0.579
grade_level,10,Any,0.169,0.64,172.0,4.0,4.169,0.254,-3.453,0.001
ell_status,Yes,Any,-0.152,0.691,99.0,3.687,3.535,-0.243,2.183,0.031
ell_status,No,Any,-0.029,0.664,1107.0,3.937,3.908,-0.048,1.449,0.148
race_ethnicity,Hispanic/Latino,Any,-0.121,0.732,1500.0,3.797,3.675,-0.168,6.417,0.0
race_ethnicity,White,Any,0.085,1.089,2660.0,3.874,3.959,0.095,-4.025,0.0
race_ethnicity,Black/African American,Any,-0.093,0.705,1445.0,3.945,3.852,-0.138,5.001,0.0
race_ethnicity,Two or more races/Other,Any,0.318,0.719,255.0,3.706,4.024,0.478,-7.056,0.0
race_ethnicity,American Indian/Alaskan Native,Any,-0.833,0.648,30.0,4.5,3.667,-1.348,7.047,0.0
race_ethnicity,Asian/Pacific Islander,Any,0.015,0.7,670.0,4.015,4.03,0.022,-0.552,0.581
economically_disadvantaged,Economically disadvantaged,Any,-0.051,0.754,467.0,3.741,3.69,-0.071,1.473,0.141
economically_disadvantaged,Not economically disadvantaged,Any,0.07,0.7,726.0,3.97,4.04,0.102,-2.703,0.007
student_disability_status,Not identified as having disability,Any,0.025,0.69,1066.0,3.939,3.964,0.036,-1.199,0.231
student_disability_status,Identified as having disability,Any,0.038,0.69,133.0,3.744,3.782,0.052,-0.629,0.531
