essay_id,demographic_value,pred
2421003804,"M","5"
AAAXMP138200001747842810_OR,"M","6"
2091005358,"F","6"
AAAXMP138200001989812810_OR,"M","5"
AAAXMP138200001241242125_OR,"F","3"
2421005904,"F","6"
AAAXMP138200001544922144_OR,"F","5"
5.07917E+12,"F","5"
AAAXMP138200001316162810_OR,"M","5"
AAAXMP138200000958522125_OR,"F","6"
2241006004,"F","4"
2171006535,"F","4"
AAAXMP138200001823032850_OR,"F","3"
2311002629,"F","3"
AAAXMP138200002197842810_OR,"M","5"
AAAXMP138200001323552850_OR,"F","4"
2221006459,"F","1"
2171006080,"M","5"
2251002222,"F","1"
AAAXMP138200001240292810_OR,"M","5"
AAAXMP138200001038412810_OR,"F","6"
2251002656,"M","6"
AAAXMP138200000895622850_OR,"M","5"
AAAUUP138180000233142125_OR,"M","5"
4.69806E+12,"M","5"
AAAXMP138200001659682125_OR,"M","5"
2221007765,"M","4"
AAAXMP138200002023042850_OR,"M","6"
AAAXMP138200002110082125_OR,"M","6"
2311002378,"F","5"
AAAXMP138200001061272850_OR,"F","5"
2251006457,"F","5"
AAAXMP138200001747112810_OR,"M","6"
AAAUUP138180000259002125_OR,"M","5"
AAAXMP138200001766862144_OR,"M","3"
2141007053,"F","4"
AAAXMP138200001858582144_OR,"M","5"
AAAXMP138200001927392125_OR,"F","4"
AAAXMP138200000607632810_OR,"M","5"
AAAXMP138200000467412810_OR,"F","6"
5.68171E+12,"M","5"
AAAXMP138200000669672810_OR,"M","5"
AAAXMP138200000493152144_OR,"F","4"
AAAUUP138180000077522125_OR,"M","5"
AAAXMP138200001735272144_OR,"M","4"
AAAUUP138180000272172125_OR,"F","5"
AAAXMP138200001922322144_OR,"F","5"
AAAXMP138200001724132810_OR,"F","5"
AAAXMP138200000913942125_OR,"M","6"
AAAXMP138200001729852144_OR,"M","4"
AAAXMP138200001862782125_OR,"M","5"
2271006061,"F","5"
AAAXMP138200000796202144_OR,"F","5"
AAAXMP138200001736212144_OR,"M","6"
AAAXMP138200002153362144_OR,"F","6"
AAAXMP138200000752562144_OR,"F","5"
5.86914E+12,"M","5"
2251002036,"F","3"
AAAXMP138200001532612125_OR,"M","5"
2421002395,"F","1"
AAAUUP138180000049022125_OR,"M","4"
5.43463E+12,"F","1"
AAAXMP138200000944392850_OR,"F","4"
AAAUUP138180000378072125_OR,"M","5"
2091007636,"M","1"
AAAXMP138200002004582810_OR,"M","1"
2141003066,"F","5"
AAAXMP138200000607252850_OR,"M","5"
2251004055,"M","6"
AAAXMP138200001572872810_OR,"M","5"
2021006584,"F","4"
2311003137,"F","5"
AAAXMP138200001907112125_OR,"M","6"
5.60751E+12,"F","4"
AAAUUP138180000349832125_OR,"M","5"
AAAXMP138200001870342850_OR,"F","5"
5.99709E+12,"M","5"
AAAXMP138200002086302810_OR,"M","4"
2081005070,"F","6"
2221001503,"F","5"
AAAXMP138200001863022125_OR,"M","5"
AAAXMP138200001387742125_OR,"F","4"
2171006438,"M","5"
AAAXMP138200001584332810_OR,"M","4"
AAAUUP138180000131342125_OR,"F","5"
2241004095,"M","3"
AAAXMP138200001883092144_OR,"F","3"
5.32541E+12,"M","5"
2431000921_cleaned,"F","1"
AAAXMP138200000637452125_OR,"F","5"
AAAXMP138200000861322850_OR,"F","6"
2421005734,"M","4"
2271004191,"F","1"
2091001549,"F","6"
2221001309,"F","6"
AAAXMP138200001610172850_OR,"M","1"
2311006756,"F","5"
AAAXMP138200001626412810_OR,"M","6"
AAAXMP138200001863872850_OR,"F","1"
AAAXMP138200001835172810_OR,"M","5"
AAAXMP138200001579892810_OR,"M","5"
2251005787,"M","1"
AAAUUP138180000132702125_OR,"M","3"
AAAXMP138200002169202125_OR,"M","2"
AAAXMP138200001484612144_OR,"M","6"
AAAXMP138200001125062850_OR,"M","5"
AAAXMP138200000783842850_OR,"F","5"
2091000097,"M","6"
AAAXMP138200000981422125_OR,"F","4"
AAAXMP138200002166132810_OR,"M","5"
AAAXMP138200001090512125_OR,"F","6"
AAAXMP138200000931562810_OR,"M","4"
5.74267E+12,"M","5"
AAAXMP138200001810662125_OR,"M","5"
AAAXMP138200001078442850_OR,"M","3"
AAAXMP138200001824312850_OR,"M","6"
AAAXMP138200001938532144_OR,"F","6"
AAAXMP138200002197152850_OR,"M","3"
AAAXMP138200000699602850_OR,"F","5"
2141004232,"M","3"
AAAXMP138200002060552810_OR,"M","4"
2271003542,"M","5"
AAAXMP138200000789222850_OR,"M","6"
2221005240,"F","2"
2021006312,"F","4"
AAAXMP138200002185462125_OR,"F","5"
AAAXMP138200001822882144_OR,"M","5"
AAAUUP138180000394042125_OR,"F","2"
AAAUUP138180000393462125_OR,"F","5"
2251003962,"M","5"
AAAXMP138200001805842144_OR,"F","5"
4.91241E+12,"M","3"
AAAXMP138200001244012810_OR,"M","4"
2091002600,"F","5"
AAAXMP138200001011982144_OR,"M","5"
5.34894E+12,"M","6"
AAAXMP138200001198972850_OR,"M","5"
AAAXMP138200001504042144_OR,"F","6"
AAAXMP138200001277262810_OR,"F","6"
5.25464E+12,"M","2"
AAAXMP138200000955202125_OR,"F","3"
5.09614E+12,"F","3"
AAAXMP138200002036082810_OR,"M","5"
2241003391,"F","5"
AAAXMP138200001041062850_OR,"F","5"
2171002394,"M","6"
AAAXMP138200001624152125_OR,"F","6"
AAAXMP138200001525592125_OR,"M","5"
2171006993,"M","3"
AAAXMP138200001783352125_OR,"F","6"
2081006653,"F","6"
2171006021,"F","3"
2431006156,"F","3"
2141002663,"F","1"
AAAXMP138200000777042125_OR,"M","5"
AAAXMP138200001514122144_OR,"M","4"
2431000174,"F","6"
2141006138,"M","5"
AAAXMP138200001224322810_OR,"F","6"
2171002718,"F","4"
AAAXMP138200000792822810_OR,"M","4"
5.74698E+12,"M","5"
AAAUUP138180000312602125_OR,"M","6"
AAAXMP138200001765322144_OR,"M","5"
AAAXMP138200000763052125_OR,"M","6"
525730115212010thLitAB,"M","2"
2311003641,"M","4"
5.67226E+12,"M","4"
2431003653,"F","4"
2271003801,"F","3"
AAAXMP138200001978632850_OR,"F","5"
2221002453,"M","6"
2271002473,"F","3"
AAAXMP138200000988232810_OR,"M","6"
AAAXMP138200002199112810_OR,"F","5"
AAAXMP138200001439402850_OR,"F","2"
2421004151,"M","4"
AAAXMP138200001905312144_OR,"F","5"
AAAXMP138200000600272810_OR,"M","3"
5.64178E+12,"M","6"
AAAXMP138200001785522125_OR,"M","6"
4.63525E+12,"F","5"
2431002941,"M","6"
2221001473,"F","6"
AAAXMP138200000974362144_OR,"M","6"
2021005197,"M","4"
AAAXMP138200001466462125_OR,"F","5"
2421006170,"F","6"
AAAXMP138200001380022144_OR,"M","6"
AAAXMP138200001731132850_OR,"M","1"
5.42834E+12,"F","5"
2431005028,"M","1"
AAAXMP138200002049472810_OR,"M","5"
2141004917,"M","6"
2271005391,"F","5"
AAAXMP138200001821662144_OR,"M","5"
AAAXMP138200002126662850_OR,"F","6"
AAAXMP138200001434132810_OR,"F","5"
2091006150,"F","4"
2221004014,"F","5"
2081007765,"F","5"
2311006543,"F","3"
AAAXMP138200002063312810_OR,"M","5"
2221002224,"F","4"
AAAXMP138200001846562125_OR,"M","4"
2241003595,"M","6"
AAAXMP138200001041652144_OR,"F","5"
AAAXMP138200000663992810_OR,"M","3"
AAAXMP138200000805552850_OR,"F","5"
AAAXMP138200002058112144_OR,"F","5"
AAAXMP138200002205752850_OR,"F","6"
2081004995,"M","6"
2171007132,"M","3"
AAAXMP138200001899852125_OR,"M","5"
AAAXMP138200002009162810_OR,"M","4"
AAAXMP138200001862462850_OR,"M","5"
2241007591,"F","6"
AAAXMP138200001348792125_OR,"F","6"
5.72679E+12,"M","3"
5.72685E+12,"F","5"
2421006650,"F","5"
2431003131,"F","5"
AAAXMP138200000869932144_OR,"F","6"
AAAXMP138200000965972144_OR,"F","5"
2171000251,"F","5"
2021007033,"F","5"
AAAXMP138200001999072810_OR,"F","5"
AAAXMP138200002216202850_OR,"M","5"
5.25893E+12,"M","2"
2251006392,"M","4"
AAAXMP138200002204782125_OR,"F","5"
AAAXMP138200001628442810_OR,"F","6"
2251003431,"M","5"
2241002483,"F","4"
2081001384,"F","5"
AAAXMP138200001642152144_OR,"F","6"
2221000981,"M","4"
AAAXMP138200001101162144_OR,"M","5"
AAAUUP138180000050862125_OR,"F","1"
4.4222E+12,"F","5"
AAAXMP138200002081132125_OR,"F","5"
2081001287,"M","3"
5.3396E+12,"M","5"
