demographic_variable,demographic_value,counterfactual_value,mean_difference,std_difference,count,demo_mean,cf_mean,effect_size,ttest_statistic,ttest_pvalue
gender,M,Any,0.018,1.66,658.0,4.459,4.477,0.014,-0.282,0.778
gender,F,Any,-0.07,1.631,654.0,4.616,4.546,-0.053,1.103,0.27
grade_level,8,Any,-0.009,1.653,3148.0,4.531,4.522,-0.007,0.313,0.754
grade_level,11,Any,0.228,1.544,1260.0,4.473,4.701,0.171,-5.236,0.0
grade_level,12,Any,-0.08,1.425,188.0,4.213,4.133,-0.054,0.768,0.444
grade_level,10,Any,-0.047,1.533,172.0,4.581,4.535,-0.035,0.398,0.691
ell_status,Yes,Any,0.313,1.39,99.0,4.596,4.909,0.284,-2.242,0.027
ell_status,No,Any,-0.321,1.424,1107.0,4.981,4.66,-0.285,7.492,0.0
race_ethnicity,Hispanic/Latino,Any,-0.019,1.491,1500.0,4.64,4.621,-0.015,0.502,0.615
race_ethnicity,White,Any,0.198,1.578,2660.0,4.536,4.734,0.159,-6.474,0.0
race_ethnicity,Black/African American,Any,-0.135,1.661,1445.0,4.63,4.495,-0.103,3.088,0.002
race_ethnicity,Two or more races/Other,Any,-0.224,1.748,255.0,4.549,4.325,-0.163,2.042,0.042
race_ethnicity,American Indian/Alaskan Native,Any,0.233,2.254,30.0,4.167,4.4,0.143,-0.567,0.575
race_ethnicity,Asian/Pacific Islander,Any,-0.191,1.405,670.0,4.978,4.787,-0.183,3.518,0.0
economically_disadvantaged,Economically disadvantaged,Any,0.096,1.533,467.0,4.428,4.525,0.074,-1.359,0.175
economically_disadvantaged,Not economically disadvantaged,Any,-0.112,1.405,726.0,4.82,4.708,-0.1,2.139,0.033
student_disability_status,Not identified as having disability,Any,0.097,1.621,1066.0,4.538,4.634,0.075,-1.947,0.052
student_disability_status,Identified as having disability,Any,-0.173,1.69,133.0,4.414,4.241,-0.119,1.18,0.24
