demographic_variable,demographic_value,counterfactual_value,mean_difference,std_difference,count,demo_mean,cf_mean,effect_size,ttest_statistic,ttest_pvalue
gender,M,Any,0.029,0.414,658.0,2.736,2.764,0.027,-1.79,0.074
gender,F,Any,-0.08,0.495,654.0,3.003,2.924,-0.073,4.11,0.0
grade_level,8,Any,-0.039,0.448,3148.0,2.382,2.343,-0.041,4.935,0.0
grade_level,11,Any,0.073,0.423,1260.0,3.063,3.137,0.084,-6.127,0.0
grade_level,12,Any,-0.021,0.386,188.0,2.617,2.596,-0.023,0.755,0.451
grade_level,10,Any,0.105,0.307,172.0,2.814,2.919,0.127,-4.471,0.0
ell_status,Yes,Any,0.141,0.783,99.0,2.566,2.707,0.151,-1.798,0.075
ell_status,No,Any,-0.141,0.752,1107.0,2.958,2.818,-0.127,6.232,0.0
race_ethnicity,Hispanic/Latino,Any,-0.079,0.631,1500.0,2.91,2.831,-0.071,4.829,0.0
race_ethnicity,White,Any,0.234,0.709,2660.0,2.776,3.01,0.184,-17.01,0.0
race_ethnicity,Black/African American,Any,-0.047,0.645,1445.0,3.024,2.977,-0.04,2.773,0.006
race_ethnicity,Two or more races/Other,Any,-0.004,0.673,255.0,3.0,2.996,-0.004,0.093,0.926
race_ethnicity,American Indian/Alaskan Native,Any,-0.2,0.805,30.0,2.667,2.467,-0.157,1.361,0.184
race_ethnicity,Asian/Pacific Islander,Any,-0.139,0.668,670.0,3.485,3.346,-0.112,5.383,0.0
economically_disadvantaged,Economically disadvantaged,Any,0.229,0.561,467.0,2.398,2.627,0.211,-8.831,0.0
economically_disadvantaged,Not economically disadvantaged,Any,-0.255,0.601,726.0,3.058,2.803,-0.217,11.425,0.0
student_disability_status,Not identified as having disability,Any,-0.442,0.853,1066.0,3.189,2.747,-0.321,16.912,0.0
student_disability_status,Identified as having disability,Any,0.526,0.831,133.0,2.586,3.113,0.391,-7.304,0.0
