essay_id,pred
567353115212010thLitAB,4
2021001159,3
AAAXMP138200000496202810_OR,4
AAAXMP138200001505942144_OR,5
AAAUUP138180000099712125_OR,4
AAAXMP138200002160202810_OR,4
2241001932,4
497776115212610thLitB,5
2081007803,4
2251000084,4
5.63154E+12,4
2251003962,3
AAAXMP138200000673642850_OR,4
AAAXMP138200001258182810_OR,3
2021001957,5
4.28022E+12,4
AAAXMP138200000775582125_OR,4
AAAXMP138200000953032144_OR,4
AAAXMP138200001490482144_OR,4
2271001116,4
AAAXMP138200001146932810_OR,3
AAAXMP138200001219582850_OR,3
AAAXMP138200000786472125_OR,4
AAAXMP138200001575342850_OR,4
549090115212010thLitAB,4
AAAXMP138200001122292144_OR,5
AAAXMP138200001701632810_OR,3
AAAXMP138200001153932144_OR,4
AAAXMP138200002015902144_OR,4
2311000707,4
2021003178,3
AAAXMP138200000772722850_OR,4
2311005296,3
AAAXMP138200000686132810_OR,4
2171002696,4
2311002521,4
AAAXMP138200001632172144_OR,4
5.58506E+12,4
2251003067,4
2171000341,3
AAAUUP138180000128162125_OR,4
2311000855,4
2141007584,4
AAAXMP138200000595392810_OR,4
AAAXMP138200000806832144_OR,4
AAAXMP138200000806092850_OR,2
AAAXMP138200001757742850_OR,4
AAAXMP138200000603492810_OR,4
2081000868,3
AAAXMP138200001936532125_OR,5
5.29887E+12,4
AAAXMP138200001059222850_OR,4
AAAXMP138200001998682850_OR,4
2021000756,3
AAAXMP138200001055862144_OR,5
5.33403E+12,4
AAAXMP138200000986792810_OR,4
2091001727,3
AAAXMP138200001919982125_OR,3
5.17563E+12,4
2271001477,5
AAAXMP138200002196442810_OR,5
AAAXMP138200000959512810_OR,3
AAAXMP138200002206452850_OR,4
2081005207,4
2271002759,3
AAAXMP138200001910152810_OR,4
AAAXMP138200001298672125_OR,4
2421005777,3
AAAXMP138200001801832810_OR,4
AAAXMP138200001992422810_OR,3
AAAXMP138200001491102850_OR,4
AAAXMP138200000900712850_OR,2
2081002402,3
AAAXMP138200001902672810_OR,4
2421001887,4
AAAXMP138200001891732810_OR,4
AAAXMP138200000699602850_OR,4
AAAXMP138200001184682810_OR,5
AAAXMP138200000910192144_OR,4
AAAXMP138200001707092125_OR,5
AAAXMP138200000842792810_OR,5
AAAXMP138200000950142125_OR,4
AAAXMP138200002211952810_OR,4
AAAXMP138200001659172125_OR,4
5.25405E+12,4
AAAXMP138200000835772125_OR,4
2241003455,4
AAAXMP138200001544582125_OR,4
2171001975,4
AAAXMP138200002161562810_OR,4
AAAXMP138200001378792125_OR,4
AAAXMP138200000913622850_OR,4
AAAXMP138200001548902125_OR,4
2241006683,4
2221002933,4
AAAXMP138200001928632144_OR,4
2421001631,4
5.72685E+12,4
2171000952,4
2311003358,3
AAAXMP138200001290052810_OR,4
2241005938,4
AAAXMP138200001732942125_OR,4
2271001515,4
2311006349,4
AAAXMP138200000521672810_OR,4
AAAXMP138200001444142810_OR,4
2171005920,4
